tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis,musteri_id
2023-07-02,P032,Mouse,Ev Aletleri,1207.3,13,15694.9,9225
2024-02-11,P051,Kalem,Kırtasiye,237.14,16,3794.24,3955
2023-03-06,P024,Bilgisayar,Ev Aletleri,1024.29,9,9218.61,2367
2024-04-11,P040,Klima,Kırtasiye,1477.88,9,13300.920000000002,2869
2024-01-08,P050,Klima,Giyim,949.43,19,18039.17,9724
2023-06-20,P083,Fırın,Ev Aletleri,266.4,10,2664.0,7948
2023-08-22,P082,Defter,Elektronik,1290.3,8,10322.4,4184
2024-05-11,P078,Klima,Kırtasiye,627.78,17,10672.26,1522
2024-07-26,P010,Çanta,Kırtasiye,749.39,8,5995.12,5504
2023-03-15,P095,Defter,Mutfak Ürünleri,193.65,16,3098.4,1722
2023-04-26,P063,Fırın,Mutfak Ürünleri,362.96,15,5444.4,2678
2024-05-19,P011,Kalem,Elektronik,577.19,16,9235.04,9408
2024-03-20,P005,Bilgisayar,Ev Aletleri,1302.35,7,9116.45,2863
2023-09-01,P037,Klima,Giyim,270.14,13,3511.82,6923
2023-03-11,P051,Çanta,Giyim,990.12,10,9901.2,4678
2024-06-08,P067,Defter,Kozmetik,1221.37,6,7328.219999999999,4666
2023-12-27,P097,Su Şişesi,Mutfak Ürünleri,976.99,19,18562.81,4778
2023-10-25,P071,Kalem,Mutfak Ürünleri,1245.33,18,22415.94,2043
2024-05-01,P041,Defter,Ev Aletleri,682.11,9,6138.99,6732
2024-09-21,P075,Defter,Giyim,1117.5,1,1117.5,7103
2023-02-03,P042,Su Şişesi,Giyim,455.04,4,1820.16,1361
2023-10-27,P087,Çanta,Ev Aletleri,1207.15,10,12071.5,8626
2023-11-03,P044,Su Şişesi,Kırtasiye,324.84,2,649.68,9754
2024-09-16,P018,Mouse,Kırtasiye,926.76,3,2780.28,4046
2024-10-14,P022,Su Şişesi,Kozmetik,921.73,12,11060.76,3883
2023-12-25,P087,Kulaklık,Kozmetik,1074.51,3,3223.53,2144
2023-05-30,P028,Bilgisayar,Kırtasiye,78.34,7,548.38,3393
2024-03-31,P061,Defter,Kozmetik,420.9,3,1262.6999999999998,7110
2023-02-01,P065,Kalem,Mutfak Ürünleri,740.2,8,5921.6,9977
2023-11-21,P024,Kulaklık,Elektronik,1265.21,18,22773.78,2161
2023-05-20,P074,Kulaklık,Kozmetik,1487.71,14,20827.94,5038
2023-11-08,P056,Klima,Kırtasiye,1142.15,3,3426.4500000000003,9142
2024-05-08,P083,Bilgisayar,Mutfak Ürünleri,839.93,10,8399.3,8147
2024-10-03,P086,Defter,Mutfak Ürünleri,805.94,5,4029.7,8258
2023-08-21,P035,Telefon,Kozmetik,682.65,14,9557.1,9548
2024-02-18,P069,Su Şişesi,Kırtasiye,489.8,7,3428.6,2822
2024-03-03,P025,Fırın,Elektronik,751.52,18,13527.36,9665
2022-11-28,P043,Telefon,Elektronik,1272.82,15,19092.3,5689
2023-09-28,P020,Kalem,Giyim,916.33,13,11912.29,1592
2023-05-15,P002,Çanta,Elektronik,1145.39,4,4581.56,7751
2024-05-24,P096,Çanta,Mutfak Ürünleri,352.22,18,6339.960000000001,7099
2023-06-18,P014,Su Şişesi,Kozmetik,444.14,6,2664.84,1496
2024-03-22,P010,Bilgisayar,Kırtasiye,1081.54,1,1081.54,2618
2024-04-18,P048,Klima,Elektronik,527.11,16,8433.76,7734
2023-01-20,P095,Bilgisayar,Kozmetik,1187.65,5,5938.25,9363
2024-09-08,P069,Defter,Elektronik,703.97,3,2111.91,3933
2023-05-08,P037,Fırın,Ev Aletleri,976.12,5,4880.6,7704
2024-02-18,P069,Mouse,Kozmetik,1234.59,13,16049.669999999998,4787
2022-11-21,P051,Mouse,Ev Aletleri,946.98,5,4734.9,1752
2023-08-08,P039,Fırın,Mutfak Ürünleri,1111.47,10,11114.7,9608
2023-03-27,P014,Telefon,Mutfak Ürünleri,1215.91,7,8511.37,5355
2024-04-22,P022,Defter,Ev Aletleri,703.04,9,6327.36,9023
2023-08-01,P026,Mouse,Mutfak Ürünleri,244.96,9,2204.64,5903
2023-09-12,P008,Defter,Ev Aletleri,239.63,1,239.63,2829
2023-04-19,P056,Kalem,Elektronik,317.39,1,317.39,2585
2024-07-09,P030,Defter,Giyim,576.29,11,6339.19,5447
2023-12-31,P033,Telefon,Giyim,745.74,5,3728.7,7228
2023-02-22,P006,Defter,Elektronik,984.53,15,14767.95,6465
2023-11-27,P063,Defter,Kırtasiye,728.85,8,5830.8,6967
2024-06-02,P047,Fırın,Mutfak Ürünleri,1337.33,4,5349.32,7483
2024-08-23,P015,Klima,Kozmetik,1305.45,11,14359.95,4871
2023-10-27,P023,Kulaklık,Giyim,512.56,19,9738.64,1605
2022-12-01,P018,Telefon,Ev Aletleri,721.03,13,9373.39,8347
2023-03-06,P030,Fırın,Elektronik,1255.55,12,15066.6,3716
2023-07-22,P027,Fırın,Kozmetik,890.04,1,890.04,3354
2022-12-31,P018,Çanta,Kozmetik,1379.66,2,2759.32,7465
2023-11-19,P082,Su Şişesi,Kırtasiye,1244.44,5,6222.200000000001,1521
2023-11-16,P051,Mouse,Kırtasiye,1054.7,15,15820.5,4625
2023-02-26,P053,Çanta,Ev Aletleri,1023.79,16,16380.64,3558
2023-09-09,P082,Mouse,Kırtasiye,1364.97,8,10919.76,9825
2024-02-24,P092,Telefon,Kozmetik,1037.07,2,2074.14,2488
2024-07-30,P065,Mouse,Mutfak Ürünleri,1077.5,17,18317.5,1320
2024-07-26,P051,Bilgisayar,Ev Aletleri,419.95,12,5039.4,5532
2024-03-01,P007,Defter,Kozmetik,157.6,17,2679.2,8228
2023-11-27,P070,Mouse,Mutfak Ürünleri,737.35,18,13272.3,1176
2023-05-08,P053,Çanta,Elektronik,683.74,11,7521.14,2851
2023-07-28,P093,Defter,Mutfak Ürünleri,1201.22,11,13213.42,4659
2023-09-05,P055,Mouse,Kozmetik,1445.68,8,11565.44,7194
